#
#   Spectrum of the blue flame from a butane torch showing excited molecular radical band emission and Swan bands.
#   Wikipedia User:Eli Rabett
#   Ocean Optics HR2000 spectrometer
#
#   the division between CH and C2 (Swan bands) is about 433 nm
#
#   File talk:Spectrum of blue flame - intensity corrected.png
#   January 2007
#   https://en.wikipedia.org/wiki/File_talk:Spectrum_of_blue_flame_-_intensity_corrected.png

wavelength,irradiance
887.49,0.017
887.92,0.012
888.36,0.003
888.79,0.027
889.22,0.018
889.65,0.015
890.08,0.01
890.52,0.012
890.95,0.047
891.38,0.047
891.81,0.029
892.24,0.049
892.67,0.031
893.1,0.034
893.54,0.021
893.97,0.026
894.4,0.037
894.83,0.036
895.26,0.013
895.69,0.027
896.12,0.029
896.56,0.018
896.99,0.016
897.42,0.016
897.85,0.025
898.28,0.03
898.71,0.017
899.14,0.027
899.57,0.037
900.01,0.041
900.44,0.03
900.87,0.039
901.3,0.026
901.73,0.038
902.16,0.04
902.59,0.043
903.02,0.015
903.45,0.008
903.88,0.015
904.31,0.018
904.75,0.012
905.18,0.011
905.61,0.019
906.04,0.039
906.47,0.013
906.9,0.024
907.33,0.019
907.76,0.038
908.19,0.035
908.62,0.015
909.05,0.035
909.48,0.019
909.91,0.019
910.34,0.042
910.77,0.023
911.2,0.006
911.63,0.007
912.07,0.026
912.5,0.027
912.93,0.036
913.36,0.048
913.79,0.072
914.22,0.054
914.65,0.035
915.08,0.029
915.51,0.035
915.94,0.101
916.37,0.054
916.8,0.046
917.23,0.057
917.66,0.046
918.09,0.053
918.52,0.031
918.95,0.033
919.38,0.031
919.81,0.093
920.24,0.056
920.67,0.035
921.1,0.04
921.53,0.083
921.96,0.041
922.39,0.025
922.82,0.036
923.24,0.03
923.67,0.064
924.1,0.062
924.53,0.065
924.96,0.061
925.39,0.079
925.82,0.09
926.25,0.143
926.68,0.183
927.11,0.186
927.54,0.249
927.97,0.261
928.4,0.265
928.83,0.229
929.26,0.225
929.69,0.248
930.12,0.288
930.54,0.28
930.97,0.19
931.4,0.192
931.83,0.215
